EmpNo,Attrition,JobRole,Department,DistanceFromHome,Education,EducationField,Age,Gender,YearsAtCompany,YearsInCurrentRole,Years Since Last Promotion,Years CurrManager,Monthly Income,EnvironmentSatisfaction,JobLevel,Job Satisfaction,Marital Status,Num Companies Worked,Over Time,Performance Rating,Relationship Satisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,,,,,,,,
1016,Yes,Research Scientist,Research & Development,11,Bachelor's,Medical,20,Female,1,0,0,0,2600,4,1,1,Single,1,Yes,3,1,0,1,2,3,,,,,,,,
1017,Yes,Laboratory Technician,Research & Development,5,Bachelor's,Medical,30,Female,3,2,1,2,2422,2,1,2,Single,0,No,3,1,0,4,3,3,,,,,,,,
1018,No,Manufacturing Director,Research & Development,2,Some university,Medical,26,Male,8,7,1,3,5472,4,2,4,Married,1,No,3,2,0,8,2,3,,,,,,,,
1019,No,Laboratory Technician,Research & Development,8,High school or below,Life Sciences,22,Male,4,3,1,1,2451,2,1,1,Married,1,No,3,1,1,4,3,2,,,,,,,,
1022,No,Healthcare Representative,Research & Development,6,Bachelor's,Life Sciences,48,Male,2,2,2,2,4240,1,2,3,Single,2,No,3,4,0,19,0,3,,,,,,,,
1024,No,Healthcare Representative,Research & Development,4,Master's,Life Sciences,48,Male,15,11,4,8,10999,3,3,3,Single,7,No,3,2,0,27,3,3,,,,,,,,
1025,No,Manufacturing Director,Research & Development,7,Some university,Medical,41,Female,2,2,2,1,5003,4,2,3,Single,6,No,3,2,0,8,6,3,,,,,,,,
1026,No,Manufacturing Director,Research & Development,1,High school or below,Life Sciences,39,Female,21,6,11,8,12742,4,4,4,Married,1,No,3,3,1,21,3,3,,,,,,,,
1027,No,Manufacturing Director,Research & Development,2,Master's,Life Sciences,27,Female,3,2,2,2,4227,1,2,4,Married,0,No,3,2,1,4,2,3,,,,,,,,
1028,No,Laboratory Technician,Research & Development,10,Bachelor's,Other,35,Male,3,2,1,2,3917,2,1,4,Divorced,1,No,4,1,1,3,4,2,1,,,,,,,
1029,No,Manager,Sales,5,Some university,Marketing,42,Male,1,0,0,0,18303,4,5,3,Married,6,No,3,2,0,21,3,4,,,,,,,,
1030,No,Laboratory Technician,Research & Development,9,Bachelor's,Life Sciences,50,Male,1,0,0,0,2380,1,1,4,Married,4,No,3,2,0,8,5,3,,,,,,,,
1032,No,Manufacturing Director,Research & Development,2,Bachelor's,Life Sciences,59,Female,5,3,4,3,13726,3,4,4,Single,3,Yes,3,1,0,30,4,3,,,,,,,,
1033,Yes,Healthcare Representative,Research & Development,11,Some university,Medical,37,Female,1,0,0,0,4777,1,2,2,Married,5,No,3,1,0,15,2,1,,,,,,,,
1034,No,Healthcare Representative,Research & Development,18,Master's,Medical,55,Male,8,7,6,7,6385,3,2,2,Married,3,Yes,3,4,2,17,3,3,,,,,,,,
1035,No,Research Director,Research & Development,7,High school or below,Life Sciences,41,Female,21,16,5,10,19973,2,5,3,Divorced,1,No,4,2,2,21,3,3,1,,,,,,,
1036,No,Sales Executive,Sales,3,Master's,Life Sciences,38,Male,1,0,0,0,6861,2,2,4,Single,8,Yes,3,3,0,19,1,3,,,,,,,,
1037,Yes,Sales Executive,Sales,29,Some university,Medical,26,Male,2,2,2,2,4969,2,2,1,Single,8,No,3,4,0,7,6,3,,,,,,,,
1038,Yes,Manager,Sales,2,High school or below,Marketing,52,Female,32,14,6,9,19845,1,5,4,Married,1,No,3,4,1,33,3,3,,,,,,,,
1039,No,Sales Executive,Sales,28,Bachelor's,Medical,44,Female,12,11,11,11,13320,4,4,4,Married,3,Yes,3,3,1,23,2,3,,,,,,,,
1040,No,Sales Executive,Sales,1,Bachelor's,Life Sciences,50,Female,18,7,0,13,6347,4,2,3,Married,0,No,3,1,1,19,3,3,,,,,,,,
1042,Yes,Laboratory Technician,Research & Development,16,Master's,Life Sciences,36,Female,17,13,15,14,2743,3,1,1,Single,1,No,3,3,0,18,1,3,,,,,,,,
1043,No,Manufacturing Director,Research & Development,22,Bachelor's,Medical,39,Female,21,6,2,8,10880,4,3,1,Single,1,Yes,3,3,0,21,2,3,,,,,,,,
1044,No,Sales Representative,Sales,8,High school or below,Life Sciences,33,Female,2,2,2,2,2342,2,1,4,Single,0,No,3,4,0,3,2,2,,,,,,,,
1045,No,Manager,Sales,11,Some university,Life Sciences,45,Female,9,3,1,1,17650,4,4,4,Married,3,No,3,2,1,26,4,4,,,,,,,,
1046,No,Laboratory Technician,Research & Development,29,Master's,Medical,32,Female,8,7,7,7,4025,4,1,3,Single,9,No,3,2,0,10,2,3,,,,,,,,
1047,No,Sales Executive,Sales,1,Master's,Marketing,34,Male,15,1,0,9,9725,2,2,4,Divorced,0,No,3,4,1,16,2,2,,,,,,,,
1048,No,Manager,Sales,1,Some university,Technical Degree,59,Male,6,4,0,4,11904,2,3,4,Married,3,Yes,3,3,1,14,1,1,,,,,,,,
1049,No,Human Resources,Human Resources,24,Master's,Medical,45,Male,6,3,0,4,2177,2,1,2,Single,1,No,3,1,0,6,3,3,,,,,,,,
1050,No,Sales Executive,Sales,2,Bachelor's,Marketing,53,Female,15,7,6,12,7525,3,3,2,Married,2,No,3,1,1,30,2,3,,,,,,,,
1052,Yes,Laboratory Technician,Research & Development,15,Bachelor's,Other,36,Male,1,0,0,0,4834,1,2,3,Divorced,7,No,3,2,1,9,3,2,,,,,,,,
1053,Yes,Research Scientist,Research & Development,2,Bachelor's,Life Sciences,26,Male,3,2,1,2,2042,1,1,1,Married,6,Yes,3,2,1,6,2,3,,,,,,,,
1055,No,Sales Representative,Sales,10,Master's,Life Sciences,34,Female,1,1,0,0,2220,3,1,3,Married,1,Yes,3,4,1,1,2,3,,,,,,,,
1056,No,Sales Representative,Sales,10,High school or below,Medical,28,Male,1,0,0,0,1052,4,1,2,Married,1,No,4,2,0,1,5,3,1,,,,,,,
1060,No,Research Scientist,Research & Development,3,Master's,Other,38,Male,2,2,2,2,2821,3,1,3,Married,3,No,3,1,1,8,2,3,,,,,,,,
1061,No,Research Director,Research & Development,2,Master's,Medical,50,Male,8,1,7,7,19237,2,5,3,Married,2,Yes,3,4,1,29,2,2,,,,,,,,
1062,No,Healthcare Representative,Research & Development,3,Bachelor's,Other,37,Female,4,3,0,1,4107,4,2,2,Single,3,No,3,1,0,8,3,2,,,,,,,,
1066,No,Sales Executive,Sales,26,Bachelor's,Marketing,40,Male,7,7,7,5,8396,3,2,1,Married,1,No,3,2,1,8,3,2,,,,,,,,
1068,No,Research Scientist,Research & Development,1,High school or below,Medical,26,Female,5,3,1,3,2007,1,1,3,Divorced,1,No,3,3,2,5,5,3,,,,,,,,
1069,No,Research Director,Research & Development,1,Master's,Medical,46,Male,2,2,2,2,19627,4,5,4,Divorced,9,No,3,4,2,23,0,3,,,,,,,,
1070,No,Sales Executive,Sales,2,Master's,Life Sciences,54,Female,9,4,7,0,10686,3,3,3,Married,6,No,3,2,1,13,4,3,,,,,,,,
1071,No,Research Scientist,Research & Development,9,Bachelor's,Medical,56,Female,5,4,0,3,2942,1,1,3,Married,2,No,3,2,1,18,4,3,,,,,,,,
1073,No,Manufacturing Director,Research & Development,12,Doctorate,Medical,36,Female,14,8,7,8,8858,4,3,4,Single,0,No,3,2,0,15,2,2,,,,,,,,
1074,No,Manager,Research & Development,2,High school or below,Medical,55,Male,9,7,6,2,16756,3,4,1,Single,7,No,3,2,0,31,3,4,,,,,,,,
1076,No,Sales Executive,Sales,25,Bachelor's,Medical,43,Male,1,0,0,0,10798,3,3,4,Divorced,5,No,3,3,1,18,5,3,,,,,,,,
1077,Yes,Sales Representative,Sales,9,Bachelor's,Marketing,20,Female,2,2,0,2,2323,4,1,4,Single,1,Yes,3,2,0,2,3,3,,,,,,,,
1079,Yes,Laboratory Technician,Research & Development,10,Bachelor's,Life Sciences,21,Female,1,0,1,0,1416,3,1,1,Single,1,No,3,1,0,1,6,2,,,,,,,,
1080,No,Research Scientist,Research & Development,8,Master's,Life Sciences,46,Female,16,13,1,7,4615,4,2,1,Divorced,8,Yes,4,1,3,19,2,3,1,,,,,,,
1081,Yes,Research Scientist,Research & Development,4,Master's,Life Sciences,51,Male,10,0,2,7,2461,1,1,3,Married,9,Yes,3,3,3,18,2,4,,,,,,,,
1082,Yes,Healthcare Representative,Research & Development,24,Some university,Technical Degree,28,Male,10,7,1,9,8722,2,3,1,Single,1,No,3,1,0,10,2,2,,,,,,,,
1083,No,Laboratory Technician,Research & Development,1,Some university,Medical,26,Male,5,3,1,3,3955,1,1,1,Married,1,No,3,1,2,6,2,3,,,,,,,,
1084,No,Manufacturing Director,Research & Development,20,Bachelor's,Other,30,Male,6,2,0,2,9957,3,2,1,Married,0,No,3,3,1,7,1,2,,,,,,,,
1085,No,Research Scientist,Research & Development,7,Some university,Technical Degree,41,Female,10,6,0,8,3376,2,1,3,Married,1,No,3,3,0,10,3,3,,,,,,,,
1088,No,Healthcare Representative,Research & Development,17,High school or below,Life Sciences,38,Female,19,9,1,9,8823,3,3,3,Married,0,No,3,1,1,20,4,2,,,,,,,,
1092,No,Healthcare Representative,Research & Development,20,Master's,Technical Degree,40,Male,11,10,11,1,10322,1,3,4,Married,4,No,4,4,1,14,6,3,1,,,,,,,
1094,No,Laboratory Technician,Research & Development,8,Doctorate,Life Sciences,27,Male,3,2,1,2,4621,1,1,3,Married,1,No,3,4,3,3,4,3,,,,,,,,
1096,No,Manufacturing Director,Research & Development,2,High school or below,Life Sciences,55,Male,3,2,1,2,10976,4,3,2,Married,3,No,3,2,1,23,4,3,,,,,,,,
1097,No,Research Scientist,Research & Development,10,Bachelor's,Other,28,Female,8,7,1,7,3660,3,2,3,Single,3,No,3,4,0,10,4,4,,,,,,,,
1098,Yes,Human Resources,Human Resources,1,Some university,Medical,44,Male,20,6,3,6,10482,2,3,1,Married,9,No,3,4,1,24,1,3,,,,,,,,
1099,No,Healthcare Representative,Research & Development,5,Bachelor's,Life Sciences,33,Male,3,2,1,2,7119,4,3,4,Divorced,4,No,3,3,1,9,2,3,,,,,,,,
1100,Yes,Sales Executive,Sales,4,Bachelor's,Technical Degree,35,Male,8,7,4,7,9582,4,3,1,Single,0,Yes,4,1,0,9,2,3,1,,,,,,,
1101,Yes,Research Scientist,Research & Development,29,Master's,Medical,33,Female,13,7,3,8,4508,1,2,3,Single,1,No,4,2,0,14,4,3,1,,,,,,,
1102,No,Laboratory Technician,Research & Development,15,Some university,Life Sciences,28,Male,4,2,2,2,2207,1,1,3,Divorced,1,No,3,4,1,4,5,2,,,,,,,,
1103,No,Healthcare Representative,Research & Development,3,High school or below,Life Sciences,34,Male,6,2,0,4,7756,1,2,4,Single,0,No,3,3,0,7,1,2,,,,,,,,
1105,No,Sales Executive,Sales,10,Master's,Life Sciences,37,Female,1,0,0,0,6694,4,2,4,Divorced,2,Yes,3,3,3,8,5,3,,,,,,,,
1106,Yes,Laboratory Technician,Research & Development,4,High school or below,Technical Degree,25,Male,7,7,5,6,3691,4,1,4,Married,1,Yes,3,2,1,7,3,4,,,,,,,,
1107,Yes,Laboratory Technician,Research & Development,21,Bachelor's,Medical,26,Male,1,1,0,0,2377,1,1,3,Divorced,1,No,4,3,1,1,0,2,1,,,,,,,
1108,Yes,Research Scientist,Research & Development,25,Bachelor's,Medical,33,Male,2,2,2,2,2313,1,1,2,Single,4,Yes,4,2,0,5,0,3,1,,,,,,,
1109,No,Manager,Research & Development,2,Some university,Medical,42,Male,22,6,13,7,17665,4,4,1,Married,0,No,3,4,1,23,3,3,,,,,,,,
1111,Yes,Laboratory Technician,Research & Development,1,Bachelor's,Medical,28,Male,1,0,0,0,2596,1,1,2,Divorced,1,No,3,1,2,1,2,3,,,,,,,,
1113,Yes,Sales Executive,Sales,1,Master's,Other,50,Male,0,0,0,0,4728,4,2,3,Single,3,Yes,3,4,0,5,4,3,,,,,,,,
1114,No,Sales Executive,Sales,7,Bachelor's,Life Sciences,33,Female,3,2,0,2,4302,4,2,2,Married,0,No,3,3,1,4,3,3,,,,,,,,
1115,No,Research Scientist,Research & Development,3,Master's,Life Sciences,34,Male,0,0,0,0,2979,3,1,4,Married,3,No,3,4,3,6,2,3,,,,,,,,
1116,No,Manager,Research & Development,1,Master's,Medical,48,Male,5,4,2,1,16885,1,4,4,Single,2,No,4,3,0,27,3,2,1,,,,,,,
1117,No,Sales Executive,Sales,9,Master's,Life Sciences,45,Female,15,10,4,12,5593,2,2,3,Married,1,No,3,4,1,15,2,3,,,,,,,,
1118,No,Healthcare Representative,Research & Development,7,Master's,Life Sciences,52,Male,8,6,4,0,10445,2,3,2,Single,7,No,3,4,0,18,4,3,,,,,,,,
1119,No,Sales Executive,Sales,10,Master's,Marketing,38,Male,8,7,2,7,8740,3,3,3,Divorced,0,Yes,3,2,2,9,2,3,,,,,,,,
1120,No,Research Scientist,Research & Development,28,Master's,Life Sciences,29,Female,7,5,1,7,2514,3,1,4,Divorced,4,No,4,1,1,11,1,3,1,,,,,,,
1121,No,Manufacturing Director,Research & Development,3,Bachelor's,Medical,28,Female,9,7,1,7,7655,4,3,2,Divorced,0,No,3,2,3,10,3,2,,,,,,,,
1124,No,Manager,Sales,3,High school or below,Marketing,46,Male,12,9,4,9,17465,1,4,3,Married,3,No,3,4,1,23,3,3,,,,,,,,
1125,No,Sales Executive,Sales,2,Some university,Marketing,38,Male,1,0,0,0,7351,4,3,2,Single,7,No,3,3,0,10,2,3,,,,,,,,
1126,No,Manufacturing Director,Research & Development,27,Bachelor's,Life Sciences,43,Female,8,7,0,1,10820,3,3,1,Married,8,No,3,3,1,18,1,3,,,,,,,,
1127,Yes,Healthcare Representative,Research & Development,2,Bachelor's,Life Sciences,39,Male,18,7,11,5,12169,1,4,4,Divorced,7,No,3,4,3,21,4,3,,,,,,,,
1128,No,Research Director,Research & Development,14,Bachelor's,Medical,40,Male,20,7,4,9,19626,3,5,3,Single,1,No,3,1,0,21,2,4,,,,,,,,
1131,No,Research Scientist,Research & Development,1,High school or below,Technical Degree,21,Female,2,2,2,2,2070,4,1,2,Single,1,Yes,3,3,0,2,6,4,,,,,,,,
1132,No,Laboratory Technician,Research & Development,9,Bachelor's,Life Sciences,39,Male,5,4,0,3,6782,3,2,2,Single,9,No,3,3,0,9,2,2,,,,,,,,
1133,No,Manufacturing Director,Research & Development,18,Master's,Life Sciences,36,Male,11,9,0,9,7779,1,2,4,Single,2,No,4,1,0,18,0,3,1,,,,,,,
1135,No,Sales Representative,Sales,20,Bachelor's,Life Sciences,31,Male,2,2,2,2,2791,3,1,4,Married,0,No,3,1,1,3,4,3,,,,,,,,
1136,No,Research Scientist,Research & Development,2,High school or below,Life Sciences,28,Male,5,3,0,4,3201,1,1,2,Married,0,No,3,1,0,6,2,1,,,,,,,,
1137,No,Sales Executive,Sales,11,Some university,Marketing,35,Male,5,2,0,2,4968,4,2,4,Divorced,1,No,3,4,1,5,3,3,,,,,,,,
1138,No,Sales Executive,Sales,8,Master's,Technical Degree,49,Male,9,8,2,3,13120,4,4,2,Married,6,No,3,2,1,22,3,3,,,,,,,,
1140,No,Manufacturing Director,Research & Development,2,Some university,Life Sciences,34,Male,3,2,0,2,4033,4,2,3,Single,2,No,3,4,0,5,3,2,,,,,,,,
1143,No,Research Scientist,Research & Development,10,Bachelor's,Life Sciences,29,Female,7,5,1,1,3291,4,1,2,Divorced,0,No,3,4,2,8,2,2,,,,,,,,
1148,No,Laboratory Technician,Research & Development,29,Bachelor's,Medical,42,Male,1,0,0,0,4272,2,2,4,Single,4,No,3,1,0,16,3,3,,,,,,,,
1150,No,Manufacturing Director,Research & Development,8,High school or below,Medical,29,Male,10,7,1,2,5056,2,2,4,Married,1,Yes,3,3,1,10,2,2,,,,,,,,
1152,No,Human Resources,Human Resources,1,Bachelor's,Human Resources,38,Male,7,6,5,0,2844,3,1,3,Married,1,No,3,4,1,7,2,4,,,,,,,,
1154,No,Research Scientist,Research & Development,6,Bachelor's,Life Sciences,28,Male,3,1,0,2,2703,3,1,3,Divorced,1,Yes,3,4,1,3,2,3,,,,,,,,
1156,Yes,Laboratory Technician,Research & Development,8,High school or below,Medical,18,Male,0,0,0,0,1904,3,1,3,Single,1,No,3,4,0,0,0,3,,,,,,,,
1157,Yes,Sales Executive,Sales,9,Master's,Marketing,33,Female,5,2,0,3,8224,1,2,1,Single,0,Yes,3,1,0,6,3,3,,,,,,,,
1158,No,Laboratory Technician,Research & Development,12,Master's,Life Sciences,41,Male,1,0,0,0,4766,2,1,4,Married,3,Yes,3,1,1,6,4,3,,,,,,,,
1160,Yes,Laboratory Technician,Research & Development,15,Bachelor's,Medical,31,Male,2,2,2,2,2610,3,1,3,Married,1,No,3,3,1,2,5,2,,,,,,,,
1161,No,Healthcare Representative,Research & Development,25,Some university,Medical,37,Female,6,2,1,3,5731,3,2,4,Divorced,7,No,3,3,2,9,2,3,,,,,,,,
1162,No,Research Scientist,Research & Development,6,Bachelor's,Life Sciences,27,Male,4,2,2,2,2539,4,1,3,Married,1,No,3,3,1,4,0,3,,,,,,,,
1163,No,Sales Executive,Sales,9,High school or below,Life Sciences,34,Female,6,5,1,3,5714,2,2,3,Married,1,No,4,1,0,6,3,2,1,,,,,,,
1164,No,Human Resources,Human Resources,8,Master's,Technical Degree,35,Male,5,4,1,4,4323,3,1,3,Single,1,No,3,2,0,6,2,1,,,,,,,,
1165,Yes,Sales Executive,Sales,23,High school or below,Life Sciences,29,Female,11,8,3,10,7336,4,3,1,Married,1,No,3,1,1,11,3,1,,,,,,,,
1166,No,Research Director,Research & Development,9,Master's,Medical,40,Female,18,7,2,13,13499,2,3,3,Single,9,No,3,3,0,20,3,2,,,,,,,,
1167,Yes,Sales Executive,Sales,12,Bachelor's,Life Sciences,42,Male,21,9,13,14,13758,3,4,1,Single,0,Yes,3,2,0,22,2,2,,,,,,,,
1171,No,Sales Executive,Sales,4,Master's,Marketing,42,Male,6,4,1,5,5155,2,2,1,Single,7,No,3,4,0,9,3,4,,,,,,,,
1172,No,Laboratory Technician,Research & Development,1,Master's,Medical,35,Male,8,0,1,7,2258,4,1,3,Married,6,No,3,2,1,10,2,3,,,,,,,,
1173,No,Laboratory Technician,Research & Development,24,Bachelor's,Medical,24,Male,4,3,1,2,3597,4,1,2,Single,8,No,4,4,0,6,2,3,1,,,,,,,
1175,Yes,Laboratory Technician,Research & Development,12,High school or below,Life Sciences,28,Female,1,1,0,0,2515,3,1,4,Married,1,Yes,3,4,0,1,4,2,,,,,,,,
1177,No,Laboratory Technician,Research & Development,3,Master's,Medical,26,Male,8,7,0,7,4420,1,1,4,Married,1,No,4,2,1,8,2,3,1,,,,,,,
1179,No,Sales Executive,Sales,10,Bachelor's,Marketing,30,Male,10,3,1,4,6578,3,2,3,Married,1,No,3,1,1,10,3,3,,,,,,,,
1180,No,Research Scientist,Research & Development,26,Some university,Medical,40,Female,1,1,0,0,4422,3,2,4,Married,3,Yes,3,4,1,16,3,1,,,,,,,,
1182,No,Manufacturing Director,Research & Development,2,Bachelor's,Life Sciences,35,Male,7,7,6,4,10274,3,3,2,Divorced,2,No,3,2,1,15,2,4,,,,,,,,
1184,No,Healthcare Representative,Research & Development,1,Bachelor's,Medical,34,Male,13,9,4,9,5343,4,2,1,Single,0,No,4,3,0,14,3,3,1,,,,,,,
1185,No,Laboratory Technician,Research & Development,4,Master's,Other,35,Male,2,2,2,2,2376,4,1,4,Married,1,No,3,2,1,2,2,4,,,,,,,,
1188,Yes,Sales Executive,Sales,9,Bachelor's,Marketing,43,Female,4,3,1,3,5346,1,2,3,Single,8,No,3,2,0,7,2,2,,,,,,,,
1190,No,Sales Representative,Sales,2,High school or below,Life Sciences,32,Female,1,0,0,0,2827,3,1,1,Divorced,1,No,3,3,3,1,3,3,,,,,,,,
1191,No,Manager,Research & Development,4,Master's,Technical Degree,56,Female,5,2,4,2,19943,4,5,1,Divorced,4,No,3,4,1,28,2,3,,,,,,,,
1192,No,Laboratory Technician,Research & Development,6,High school or below,Medical,29,Female,10,8,0,8,3131,2,1,4,Married,1,No,3,1,1,10,5,3,,,,,,,,
1193,No,Research Scientist,Research & Development,9,Some university,Life Sciences,19,Male,1,1,0,0,2552,3,1,1,Single,1,No,4,3,0,1,4,3,1,,,,,,,
1195,No,Research Scientist,Research & Development,7,Bachelor's,Medical,45,Female,3,2,0,2,4477,1,1,3,Married,4,Yes,3,3,1,7,2,2,,,,,,,,
1196,No,Manufacturing Director,Research & Development,1,Bachelor's,Life Sciences,37,Female,14,8,3,11,6474,4,2,4,Married,1,No,3,2,1,14,2,2,,,,,,,,
1198,No,Laboratory Technician,Research & Development,3,Bachelor's,Life Sciences,20,Male,2,2,1,2,3033,1,1,3,Single,1,No,3,1,0,2,2,2,,,,,,,,
1200,Yes,Research Scientist,Research & Development,10,Master's,Life Sciences,44,Male,6,4,0,2,2936,3,1,3,Single,1,Yes,3,3,0,6,4,3,,,,,,,,
1201,No,Manager,Research & Development,7,Some university,Medical,53,Female,7,7,4,7,18606,4,5,3,Divorced,3,No,3,2,1,26,6,3,,,,,,,,
1202,No,Research Scientist,Research & Development,15,High school or below,Life Sciences,29,Female,5,4,1,3,2168,2,1,4,Married,0,Yes,3,1,1,6,2,2,,,,,,,,
1203,Yes,Research Scientist,Research & Development,3,Master's,Life Sciences,22,Male,0,0,0,0,2853,3,1,4,Married,0,Yes,3,2,1,1,5,3,,,,,,,,
1204,No,Manager,Sales,2,Bachelor's,Marketing,46,Female,26,15,15,9,17048,3,4,1,Married,8,No,4,1,0,28,2,3,1,,,,,,,
1206,No,Research Scientist,Research & Development,17,Bachelor's,Life Sciences,44,Male,0,0,0,0,2290,4,1,3,Single,2,No,3,4,0,6,3,3,,,,,,,,
1207,No,Human Resources,Human Resources,2,Bachelor's,Human Resources,33,Male,5,4,1,4,3600,2,1,3,Married,1,No,3,4,1,5,2,3,,,,,,,,
1210,Yes,Research Scientist,Research & Development,5,Some university,Life Sciences,41,Male,1,0,0,0,2107,1,1,1,Divorced,6,No,3,1,1,5,2,1,,,,,,,,
1211,No,Sales Executive,Sales,29,Master's,Life Sciences,30,Male,4,3,0,3,4115,3,2,1,Divorced,8,No,3,3,3,8,3,3,,,,,,,,
1212,No,Sales Executive,Sales,2,Master's,Medical,40,Male,0,0,0,0,4327,2,2,2,Married,5,No,3,4,3,5,2,3,,,,,,,,
1215,No,Manager,Research & Development,2,Bachelor's,Medical,50,Female,2,2,2,2,17856,4,4,1,Married,2,No,4,3,1,32,3,3,1,,,,,,,
1216,No,Laboratory Technician,Research & Development,19,Master's,Medical,28,Male,6,5,3,3,3196,4,1,1,Married,1,No,3,3,3,6,2,3,,,,,,,,
1217,No,Research Director,Research & Development,15,Some university,Life Sciences,46,Male,4,2,0,3,19081,4,5,2,Married,5,No,3,1,1,25,2,3,,,,,,,,
1218,No,Sales Executive,Sales,17,Master's,Life Sciences,35,Male,7,7,1,7,8966,3,2,1,Married,3,Yes,3,4,3,15,2,3,,,,,,,,
1219,Yes,Laboratory Technician,Research & Development,17,Some university,Life Sciences,24,Female,1,0,0,0,2210,4,1,2,Married,1,No,3,1,1,1,3,1,,,,,,,,
1220,No,Sales Executive,Sales,25,Bachelor's,Medical,33,Female,10,7,0,1,4539,2,2,3,Married,1,No,3,1,1,10,3,2,,,,,,,,
1221,No,Laboratory Technician,Research & Development,6,Master's,Life Sciences,36,Male,7,7,1,7,2741,3,1,3,Divorced,1,No,3,3,1,7,4,3,,,,,,,,
1224,No,Laboratory Technician,Research & Development,7,Master's,Life Sciences,30,Male,10,7,8,9,3491,3,2,3,Divorced,1,No,3,1,3,10,4,2,,,,,,,,
1225,No,Research Scientist,Research & Development,29,Master's,Other,44,Male,20,11,13,17,4541,4,2,4,Single,1,No,4,2,0,20,3,3,1,,,,,,,
1226,No,Sales Representative,Sales,21,Bachelor's,Marketing,20,Male,2,1,2,2,2678,3,1,4,Single,1,No,3,4,0,2,2,3,,,,,,,,
1228,No,Manufacturing Director,Research & Development,2,Master's,Technical Degree,46,Male,6,3,1,4,7379,4,2,4,Divorced,2,No,3,3,1,12,3,2,,,,,,,,
1231,No,Human Resources,Human Resources,2,Doctorate,Medical,42,Male,4,3,0,3,6272,4,2,1,Married,7,No,3,1,1,10,3,4,,,,,,,,
1233,No,Sales Executive,Sales,7,Master's,Marketing,60,Male,11,7,1,9,5220,2,2,4,Divorced,0,Yes,3,2,1,12,3,3,,,,,,,,
1234,No,Laboratory Technician,Research & Development,13,Bachelor's,Other,32,Female,2,2,2,2,2743,3,1,2,Married,1,No,4,3,1,2,2,3,1,,,,,,,
1235,No,Research Scientist,Research & Development,2,Some university,Life Sciences,32,Female,8,7,0,7,4998,4,2,3,Single,4,Yes,3,4,0,10,2,3,,,,,,,,
1237,No,Manufacturing Director,Research & Development,1,Bachelor's,Technical Degree,36,Female,7,7,7,7,10252,3,3,1,Divorced,2,Yes,4,3,1,17,2,3,1,,,,,,,
1238,No,Research Scientist,Research & Development,9,Bachelor's,Medical,33,Male,14,10,4,10,2781,1,1,4,Married,0,No,3,2,1,15,5,3,,,,,,,,
1239,No,Sales Executive,Sales,10,Bachelor's,Technical Degree,40,Female,5,1,1,3,6852,2,2,2,Divorced,7,No,3,2,1,7,2,4,,,,,,,,
1240,No,Sales Executive,Sales,10,Master's,Life Sciences,25,Male,4,3,1,1,4950,3,2,4,Single,0,No,3,2,0,5,4,3,,,,,,,,
1241,No,Research Scientist,Research & Development,1,Bachelor's,Medical,30,Male,11,9,5,7,3579,4,1,2,Married,0,Yes,4,1,1,12,2,3,1,,,,,,,
1242,No,Research Director,Research & Development,26,Doctorate,Medical,42,Female,1,0,0,0,13191,1,3,1,Married,3,Yes,3,3,0,20,6,3,,,,,,,,
1243,No,Sales Executive,Sales,8,Some university,Marketing,35,Female,13,2,4,12,10377,3,3,4,Married,4,Yes,3,2,1,16,6,2,,,,,,,,
1244,No,Research Scientist,Research & Development,14,Bachelor's,Life Sciences,27,Male,9,7,6,8,2235,1,1,1,Married,1,Yes,3,4,2,9,3,2,,,,,,,,
1245,No,Manufacturing Director,Research & Development,1,Master's,Life Sciences,54,Female,5,4,1,4,10502,4,3,3,Divorced,7,No,3,1,1,33,2,1,,,,,,,,
1246,No,Research Scientist,Research & Development,2,High school or below,Life Sciences,44,Female,10,5,7,7,2011,1,1,4,Married,1,No,3,4,1,10,5,3,,,,,,,,
1248,Yes,Research Scientist,Research & Development,10,Bachelor's,Medical,19,Female,1,1,0,0,1859,1,1,2,Single,1,Yes,4,2,0,1,2,4,1,,,,,,,
1249,No,Research Scientist,Research & Development,1,Bachelor's,Life Sciences,29,Female,3,2,1,2,3760,1,1,4,Divorced,1,No,3,1,3,3,5,3,,,,,,,,
1250,No,Research Director,Research & Development,3,Bachelor's,Life Sciences,54,Male,10,9,0,9,17779,4,4,4,Married,3,No,3,1,0,36,2,3,,,,,,,,
1251,No,Healthcare Representative,Research & Development,11,Some university,Medical,31,Male,6,5,0,1,6833,3,2,1,Married,1,Yes,3,4,0,6,2,2,,,,,,,,
1252,No,Healthcare Representative,Research & Development,24,Bachelor's,Medical,31,Female,10,9,1,8,6812,3,2,1,Single,1,No,3,2,0,10,2,3,,,,,,,,
1254,No,Sales Executive,Sales,3,Bachelor's,Life Sciences,59,Female,6,1,0,5,5171,3,2,4,Single,5,No,3,4,0,13,2,3,,,,,,,,
1255,No,Research Director,Research & Development,3,Bachelor's,Life Sciences,43,Male,8,7,0,7,19740,3,5,4,Married,3,No,3,2,1,25,2,3,,,,,,,,
1256,No,Manager,Research & Development,4,Some university,Medical,49,Male,1,0,0,0,18711,1,5,3,Married,2,No,3,3,1,23,2,4,,,,,,,,
